CATEGORY,YEAR,INDICATOR,SOURCE,DESCRIPTION,UNIT,MAP,GRAPH,FILE,OPTIONS,TYPE,AFG,ALB,DZA,AND,AGO,AIA,ATG,ARG,ARM,ABW,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BTN,BOL,BIH,BWA,BRA,VGB,BRN,BGR,BFA,BDI,KHM,CMR,CAN,CPV,CYM,CAF,TCD,CHL,CHN,COL,COM,COG,COK,CRI,CIV,HRV,CUB,CYP,CZE,PRK,COD,DNK,DJI,DMA,DOM,ECU,EGY,SLV,GNQ,ERI,EST,ETH,FJI,FIN,FRA,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRD,GTM,GIN,GNB,GUY,HTI,VAT,HND,HKG,HUN,ISL,IND,IDN,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,KWT,KGZ,LAO,LVA,LBN,LSO,LBR,LBY,LIE,LTU,LUX,MAC,MDG,MWI,MYS,MDV,MLI,MLT,MHL,MRT,MUS,MEX,FSM,MCO,MNG,MNE,MSR,MAR,MOZ,MMR,NAM,NRU,NPL,NLD,ANT,NZL,NIC,NER,NGA,NIU,NOR,OMN,PAK,PLW,PSE,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,KOR,MDA,ROU,RUS,RWA,KNA,LCA,VCT,WSM,SMR,STP,SAU,SEN,SRB,SYC,SLE,SGP,SVK,SVN,SLB,SOM,ZAF,ESP,LKA,SDN,SUR,SWZ,SWE,CHE,SYR,TJK,THA,MKD,TLS,TGO,TKL,TON,TTO,TUN,TUR,TKM,TCA,TUV,UGA,UKR,ARE,GBR,TZA,USA,URY,UZB,VUT,VEN,VNM,YEM,ZMB,ZWE,GUF,ESH,TWN,GRL,EAZ,SJM,PRI,IMN,JEY,GGY,VIR,KOS,SSD,2,0
,,-,,,,,,,,,1.3193849512778244,0.9817517344880197,1.4037010805862624,,2.71903344544393,,,3.302374612292095,,,2.2779588713981442,2.413810448060453,,0.23949080466862924,,1.8566694270334683,0.8295107438699331,,,3.9262089319988753,5.868421754520373,0.011948982430148998,,7.26922162323586,,0.9577916826822326,2.2687032547627495,,0.1288525232771783,1.4043474887454086,2.7702826430871483,,2.6004820494220167,6.8289290627626915,2.511653352721037,3.005473029272391,,3.2141379295386634,3.8768537257859186,2.476219870965708,1.412945192822284,1.2965190939107736,,3.7471586266951564,,2.7161836996912174,6.5240298428038885,,1.7691101198653625,0.8874248161164561,,0.9842222478910571,,2.804696929716941,0.12372353257063178,1.5532211033764751,1.8443683982174526,3.7272286689426997,1.211238198535458,2.65526609403281,,,,,3.696231501068905,1.0561102030128675,1.7332566634437474,4.422140473981263,2.9761326323304376,,1.1956033389373029,4.951432703552716,,0.7608394067441117,1.5442908626478506,3.4339914883833162,3.42935459995711,5.529947100655258,0.6779547300193751,3.69242423277413,,7.996475634445472,0.03265281093864989,2.6454182159289035,0.0025328913095115763,1.5832089508507035,3.1038612208135787,0.6659877287743871,0.8268014060889104,0.5362894436075946,0.6506044145538213,1.1977705577833366,0.0858074215403849,0.6405301154448433,0.6014372925032438,,2.6676230271565027,17.103122991765538,0.017193850951921975,,4.726117357162506,,1.9771107489381998,4.355428765230401,4.657172354600456,0.26072703894148713,,,1.1975526743174463,,4.324379796203353,2.875771978782143,11.212213867249055,1.272445733607799,4.8288508435304225,1.6384871236320546,,0.32292628962446857,3.5752345483784413,1.5245011869357203,,,0.9958959075692189,,,1.281133959945663,3.2689419598395455,5.075158987113929,0.38546069456033205,,3.1541688630761007,0.34970520440085334,,0.5278159876284195,2.5313842079407123,4.344812310321215,7.835731701062725,,0.8660147014739743,,1.2304705246129561,,,2.2005119234282016,,9.44817795851891,1.5599616457278849,3.6758222440448547,2.7970338753276436,0.7133774991644758,,0.7553366898744535,,1.6562922563698477,,3.7757981437551678,,1.9746192391964752,3.9223506198322395,6.011656918762256,,3.5422224890039633,1.029588997114744,2.2186308587545476,,,5.083109022209418,,,,15.374886562866829,2.4413389881515064,1.3800554811978605,1.4778515726119268,2.604805744988188,1.708621964484509,0.9427301001369998,3.98370803540682,1.2468453774788015,1.062888217837677,1.581321164608731,,2.0663678582450467,,3.807168261562871,4.580625871953586,,,1.959826590279161,1.2231417165708798,2.1855698625079247,,,,5.105940342119434,,0.2889413603630434,1.4662459519667213,2.2257618118625797,2.2915553885369717,1.6082981820076447,,,1.5471562501752054,2.8251335418919594,0.5540183174676655,2.3336995499336264,0.9657875391826158,,,1.045723592229638,,,,,,,,,,,,
,,-,,,,,,,,,1.3193849512778244,0.9817517344880197,1.4037010805862624,,2.71903344544393,,,3.302374612292095,,,2.2779588713981442,2.413810448060453,,0.23949080466862924,,1.8566694270334683,0.8295107438699331,,,3.9262089319988753,5.868421754520373,0.011948982430148998,,7.26922162323586,,0.9577916826822326,2.2687032547627495,,0.1288525232771783,1.4043474887454086,2.7702826430871483,,2.6004820494220167,6.8289290627626915,2.511653352721037,3.005473029272391,,3.2141379295386634,3.8768537257859186,2.476219870965708,1.412945192822284,1.2965190939107736,,3.7471586266951564,,2.7161836996912174,6.5240298428038885,,1.7691101198653625,0.8874248161164561,,0.9842222478910571,,2.804696929716941,0.12372353257063178,1.5532211033764751,1.8443683982174526,3.7272286689426997,1.211238198535458,2.65526609403281,,,,,3.696231501068905,1.0561102030128675,1.7332566634437474,4.422140473981263,2.9761326323304376,,1.1956033389373029,4.951432703552716,,0.7608394067441117,1.5442908626478506,3.4339914883833162,3.42935459995711,5.529947100655258,0.6779547300193751,3.69242423277413,,7.996475634445472,0.03265281093864989,2.6454182159289035,0.0025328913095115763,1.5832089508507035,3.1038612208135787,0.6659877287743871,0.8268014060889104,0.5362894436075946,0.6506044145538213,1.1977705577833366,0.0858074215403849,0.6405301154448433,0.6014372925032438,,2.6676230271565027,17.103122991765538,0.017193850951921975,,4.726117357162506,,1.9771107489381998,4.355428765230401,4.657172354600456,0.26072703894148713,,,1.1975526743174463,,4.324379796203353,2.875771978782143,11.212213867249055,1.272445733607799,4.8288508435304225,1.6384871236320546,,0.32292628962446857,3.5752345483784413,1.5245011869357203,,,0.9958959075692189,,,1.281133959945663,3.2689419598395455,5.075158987113929,0.38546069456033205,,3.1541688630761007,0.34970520440085334,,0.5278159876284195,2.5313842079407123,4.344812310321215,7.835731701062725,,0.8660147014739743,,1.2304705246129561,,,2.2005119234282016,,9.44817795851891,1.5599616457278849,3.6758222440448547,2.7970338753276436,0.7133774991644758,,0.7553366898744535,,1.6562922563698477,,3.7757981437551678,,1.9746192391964752,3.9223506198322395,6.011656918762256,,3.5422224890039633,1.029588997114744,2.2186308587545476,,,5.083109022209418,,,,15.374886562866829,2.4413389881515064,1.3800554811978605,1.4778515726119268,2.604805744988188,1.708621964484509,0.9427301001369998,3.98370803540682,1.2468453774788015,1.062888217837677,1.581321164608731,,2.0663678582450467,,3.807168261562871,4.580625871953586,,,1.959826590279161,1.2231417165708798,2.1855698625079247,,,,5.105940342119434,,0.2889413603630434,1.4662459519667213,2.2257618118625797,2.2915553885369717,1.6082981820076447,,,1.5471562501752054,2.8251335418919594,0.5540183174676655,2.3336995499336264,0.9657875391826158,,,1.045723592229638,,,,,,,,,,,,
,,-,,,,,,,,,4829.0,2055.0,15233.0,,4248.0,,,49439.0,,,42440.0,10798.0,,262.0,,30356.0,270.0,,,347.0,2662.0,63.0,,3744.0,,801.0,284228.0,,165.0,11063.0,5151.0,,2951.0,7938.0,61710.0,176.0,,1505.0,2039.0,20457.0,577570.0,22325.0,,1548.0,,4170.0,9916.0,,14702.0,1167.0,,14218.0,,19160.0,178.0,146.0,4188.0,9728.0,37664.0,2614.0,,,,,974.0,7117.0,124936.0,707.0,400.0,,112193.0,8093.0,,16914.0,81.0,5025.0,3157.0,423.0,964.0,2975.0,,3244.0,6411.0,17492.0,3463.0,337163.0,82095.0,37889.0,12193.0,9341.0,6875.0,77932.0,2002.0,98128.0,2420.0,,11923.0,,1571.0,,1451.0,,3557.0,629.0,1010.0,3785.0,,,,,6858.0,3411.0,19494.0,240.0,3841.0,355.0,,1058.0,1153.0,62291.0,,,1071.0,,,16414.0,5917.0,12686.0,832.0,,7194.0,53459.0,,11872.0,1733.0,3391.0,56271.0,,7002.0,,51806.0,,,2328.0,,5557.0,21789.0,40683.0,43654.0,12520.0,,33641.0,,22154.0,,4135.0,,242.0,198.0,164.0,,75.0,13301.0,3501.0,,,1481.0,,,,496.0,3250.0,26880.0,56898.0,7810.0,12781.0,358.0,1057.0,11755.0,8768.0,8102.0,,61682.0,,311.0,1962.0,,,770.0,5858.0,56603.0,,,,13729.0,,3224.0,71956.0,16465.0,432357.0,3691.0,,463.0,12097.0,27431.0,4216.0,3217.0,4774.0,,,17950.0,,,,,,,,,,,,
,,-,,,,,,,,,,1710.13690966155,2544.47821238223,24462.541313293797,1547.23202114646,,9676.49363675807,3968.7681446947704,1146.30040444726,,25036.537151469798,29051.6309989015,1668.8616642482,22387.3468225751,14596.770302511899,269.62708901061,12216.8588203751,2328.93331796654,28517.0072724169,2580.77486039135,457.94000532155997,54934.273695737196,643.094819387047,833.864867205677,,3730.6763580885295,3999.4290144384204,,26831.060006172404,2858.96175669553,271.365075331432,218.340556787854,,999.7363077558971,27871.780033631097,709.9039887325661,,377.019882968051,409.17037702867,4121.33828703176,462.728741864599,2832.46580258043,674.204735974527,1816.82160305602,,3188.1787327616,1123.27149666944,,3635.5089887855297,16625.7076144846,10332.237428001501,,505.80222733591006,36964.094755940496,1242.47418210724,3990.3099398594604,2187.68734841644,2647.70255114582,879.1620788817411,1815.4021287827698,394.70182888454696,,,144.008421156129,2903.3593752165,28796.525417033998,28249.460300274102,7124.092450529691,424.62395681607,2499.0971048970396,28775.8126465713,376.590139251639,,15814.5798287624,4252.92011247502,1761.6031922279399,285.840505072138,497.252321738933,681.393244852596,,,1137.1389291361302,17566.1682360898,,41495.3858810296,403.09029631546304,840.2205272450259,1801.26219314917,1950.5014388258899,23781.1456596373,13499.144947004099,26476.101426815298,,31173.845578446002,1766.91247354422,3073.31578564514,555.326270851613,951.537695087298,,698.5207374405941,261.539212611125,5405.48052523031,3368.94885260528,510.669295900017,177.073646018499,,69749.067400372,6726.49280547558,50937.6459172931,14493.8656517061,328.46346863888,189.115975241786,3147.08807037182,,329.662677171153,9634.93500658473,2385.86047724822,568.566206333717,3037.4610124949395,6525.8524614239095,1969.0094951645,109704.963501153,846.060465600591,,,1416.94268703644,186.881944902767,,2813.40668503487,,233.46955180221002,30995.9337488962,,20810.194212113798,937.39999439819,302.851587576796,590.051931816296,,44689.6312161268,10473.363070544201,524.924478634506,,,3073.4986411066902,704.2630182173441,1474.04061309354,1903.87157243484,1002.43612054239,4761.10492381987,14245.1474889116,,8829.10598863632,1612.97193497945,3820.25711353965,5685.04682126996,240.690383232445,7482.41594629255,4442.15944563803,3105.32357133201,1758.70701174394,28906.0157416167,,12204.9805112665,681.115713232064,,8770.23285926743,366.045092593873,16553.5203725785,,,987.082067117359,,5068.0715278366,19151.4015045532,710.127960517264,439.277852838666,3120.5663940052195,2017.0213099129398,32327.8092230863,50002.793089098304,1109.49811763005,718.5375328538761,1571.57345312374,3020.74943489485,,425.607660400975,,1852.79662034448,6565.48384734094,2034.0986236264603,5012.89443456943,2191.98362783428,,1781.9773337884199,197.639573920531,2640.72606053796,48855.4637381547,28780.2983090561,300.829596670737,32965.647385737204,3959.59618661627,547.116676703681,1842.8898906217103,5284.26342682948,301.312399052923,666.468213505015,667.342982546048,678.552469022725,,,,24556.469212347798,,,14799.511132958798,17324.8518911986,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1.3368239466123624,1.1275050253988415,1.9144282285773233,,2.5850570509763564,,,2.9563563890853826,,,2.186247279759932,2.3902683092466006,,0.22349941948347354,,1.8747512242898114,1.6373704006281862,,,3.492426378159979,6.619100695999786,0.01087985113714532,,6.620969640234567,,1.1853975703370399,2.445449393437119,,0.28371764727255233,1.6668611169303744,3.500644953359999,,2.7612579565631497,6.3080987071045325,2.0675295545095995,3.34143447945742,,3.506542606196209,4.154393766686644,2.7180092845823194,1.3229429766786107,1.2464487148650172,,3.8151436498907416,,2.39813015038799,5.758181942020821,,1.600413021338078,1.0665133023390587,,0.9683309767491165,,2.675458478708461,0.05613056168153524,1.7350917673433481,2.411837211823001,2.8295377326680704,1.0921847953291004,2.4294912826221213,,,,,3.4739522938376117,0.9069738036851952,1.7597453775151826,5.024514726742169,4.121996638278182,,1.3789449710555128,6.019624681391614,,0.9812423636794838,2.771785757882907,3.1443380039216273,3.3411304269758095,5.458596991767659,0.7660395043417206,4.07931989951171,,5.838295057949819,0.0335628552526012,2.1896949327371966,0.0016192912643672832,1.6501991639484968,2.907819538866928,0.5149755402100326,0.48352761697379276,0.5537967344311436,0.5473700947799137,1.2834915320415707,0.17865386867899008,0.31950437750649757,0.6595368205649044,,3.0283429804908204,23.929324290088648,0.008042087507962632,,4.762623849205122,,1.5896624096730316,3.700707268794746,4.042486119882166,0.3469379094521826,,,,,4.52143464427347,3.1226910299560555,9.561633286369691,1.436958258182345,5.461676565895923,1.7504973211620354,,0.5366980328503465,3.497889178947967,1.3748085101443626,,,1.1163789750676216,,,1.509895440779073,2.9702238997139236,5.117884404625433,0.3758780625699804,,3.0830903001394465,0.3515126597378764,,0.46346304730717214,2.91007694776042,4.3291880944339445,7.859509596704386,,0.6736250774667616,,1.3996409635583174,,,2.2790987986304136,,8.286058995376681,1.8491108624122323,3.413777400302672,1.9976289607057234,0.7947331934890038,,0.8409755913330227,,1.8716366686518093,,3.6879789371542655,4.467739859356244,1.4929458082642661,2.4172182050275324,6.498842670434542,,2.9035129290218515,1.0365535749872468,2.6753841343806406,,,4.65592243936933,,,,14.445522528751287,2.53407498349307,1.6732747970745137,1.732564190828894,2.17402318522578,2.215132893075906,1.173600787799419,4.021295281340753,1.3483558884491529,1.1986073657863763,1.0437799671961319,,2.5981923390533823,,2.8342911964328823,4.420898916235302,,,2.5213745103100513,0.7252226205631793,2.026438396107553,,,,4.952187691751063,,0.30050625520794805,1.4000287078764628,2.4263944574287337,2.1459153212075304,1.957044005788893,,,1.5776741279691033,2.763802868951913,0.6470307223275878,2.829646825278528,1.1006656909598873,,,1.0995857323003733,,,,,,,,,,,,
,,-,,,,,,,,,1.3368239466123624,1.1275050253988415,1.9144282285773233,,2.5850570509763564,,,2.9563563890853826,,,2.186247279759932,2.3902683092466006,,0.22349941948347354,,1.8747512242898114,1.6373704006281862,,,3.492426378159979,6.619100695999786,0.01087985113714532,,6.620969640234567,,1.1853975703370399,2.445449393437119,,0.28371764727255233,1.6668611169303744,3.500644953359999,,2.7612579565631497,6.3080987071045325,2.0675295545095995,3.34143447945742,,3.506542606196209,4.154393766686644,2.7180092845823194,1.3229429766786107,1.2464487148650172,,3.8151436498907416,,2.39813015038799,5.758181942020821,,1.600413021338078,1.0665133023390587,,0.9683309767491165,,2.675458478708461,0.05613056168153524,1.7350917673433481,2.411837211823001,2.8295377326680704,1.0921847953291004,2.4294912826221213,,,,,3.4739522938376117,0.9069738036851952,1.7597453775151826,5.024514726742169,4.121996638278182,,1.3789449710555128,6.019624681391614,,0.9812423636794838,2.771785757882907,3.1443380039216273,3.3411304269758095,5.458596991767659,0.7660395043417206,4.07931989951171,,5.838295057949819,0.0335628552526012,2.1896949327371966,0.0016192912643672832,1.6501991639484968,2.907819538866928,0.5149755402100326,0.48352761697379276,0.5537967344311436,0.5473700947799137,1.2834915320415707,0.17865386867899008,0.31950437750649757,0.6595368205649044,,3.0283429804908204,23.929324290088648,0.008042087507962632,,4.762623849205122,,1.5896624096730316,3.700707268794746,4.042486119882166,0.3469379094521826,,,,,4.52143464427347,3.1226910299560555,9.561633286369691,1.436958258182345,5.461676565895923,1.7504973211620354,,0.5366980328503465,3.497889178947967,1.3748085101443626,,,1.1163789750676216,,,1.509895440779073,2.9702238997139236,5.117884404625433,0.3758780625699804,,3.0830903001394465,0.3515126597378764,,0.46346304730717214,2.91007694776042,4.3291880944339445,7.859509596704386,,0.6736250774667616,,1.3996409635583174,,,2.2790987986304136,,8.286058995376681,1.8491108624122323,3.413777400302672,1.9976289607057234,0.7947331934890038,,0.8409755913330227,,1.8716366686518093,,3.6879789371542655,4.467739859356244,1.4929458082642661,2.4172182050275324,6.498842670434542,,2.9035129290218515,1.0365535749872468,2.6753841343806406,,,4.65592243936933,,,,14.445522528751287,2.53407498349307,1.6732747970745137,1.732564190828894,2.17402318522578,2.215132893075906,1.173600787799419,4.021295281340753,1.3483558884491529,1.1986073657863763,1.0437799671961319,,2.5981923390533823,,2.8342911964328823,4.420898916235302,,,2.5213745103100513,0.7252226205631793,2.026438396107553,,,,4.952187691751063,,0.30050625520794805,1.4000287078764628,2.4263944574287337,2.1459153212075304,1.957044005788893,,,1.5776741279691033,2.763802868951913,0.6470307223275878,2.829646825278528,1.1006656909598873,,,1.0995857323003733,,,,,,,,,,,,
,,-,,,,,,,,,4632.0,2009.0,14210.0,,4238.0,,,40684.0,,,38951.0,10754.0,,257.0,,28827.0,257.0,,,309.0,2545.0,69.0,,3887.0,,710.0,281575.0,,178.0,10585.0,4533.0,,2659.0,7281.0,56175.0,180.0,,1423.0,1931.0,22993.0,550993.0,21495.0,,1460.0,,3755.0,9475.0,,14615.0,1064.0,,14442.0,,17808.0,177.0,148.0,4850.0,9901.0,36137.0,2386.0,,,,,916.0,6769.0,122422.0,725.0,412.0,,119723.0,8574.0,,17614.0,,4825.0,3059.0,404.0,868.0,2928.0,,3194.0,6193.0,17327.0,3532.0,345603.0,82077.0,33324.0,12488.0,10041.0,6271.0,79079.0,1895.0,100227.0,2510.0,,11494.0,,1792.0,,1365.0,,3269.0,621.0,1134.0,3642.0,,,,,6638.0,3258.0,17756.0,253.0,3289.0,339.0,,1033.0,1341.0,63014.0,,,1048.0,,,15663.0,5447.0,11917.0,653.0,,7266.0,53661.0,,12024.0,2089.0,3028.0,51253.0,,6983.0,,50696.0,,,2225.0,,5514.0,24169.0,38696.0,44410.0,11755.0,,34237.0,,20521.0,,4521.0,46.0,226.0,193.0,224.0,,78.0,12975.0,3430.0,,,1469.0,,,,536.0,3498.0,29119.0,56595.0,7959.0,12577.0,338.0,1003.0,10805.0,8432.0,9640.0,,68422.0,,321.0,1706.0,,,756.0,5811.0,54202.0,,,,13305.0,,3013.0,73914.0,15995.0,459585.0,3480.0,,,12326.0,26276.0,4473.0,3010.0,3878.0,,,17668.0,,,,,,,,,,,,
,,-,,,,,,,,,,1925.5675882309602,2589.7298104287397,24497.9086762424,1595.5380586481501,,9427.040356556641,4123.76175980255,,,24543.650806552596,28054.6940302168,,23154.7232113864,14406.4710200344,260.83722041188304,12878.0950471653,,27732.114091714,2386.05774949563,434.559981409466,55376.4332169797,586.822372275089,815.943178446004,,3599.29177389286,4252.14729631945,,27305.612717607597,3089.54058865667,280.36820558850496,217.01724142697398,,1096.85926821933,28254.753463449102,716.735413721241,,393.56637776016197,440.86073357600503,4045.68834249243,452.20805260822095,2724.21378217954,657.604294276948,1847.51164481786,,3147.44790750322,1174.9629560983901,,3780.53345297182,15812.9278730665,,,560.343542363571,36438.4662611375,,3774.3826312986894,2361.52030490543,2614.87296029886,848.7530565501751,1756.3305446391598,414.51354401528704,,,145.039073146828,2759.28925385325,28730.3326582792,27589.1921822274,6959.08173735005,426.62774147724406,2932.01351279757,27575.812807234703,374.59017014273496,,15920.230866978402,4018.3148555066796,1748.3349932276199,286.821069853895,479.296220539607,699.5217110533971,,,1168.62385553202,16972.5450402456,,41335.9672623951,389.813250762405,784.7713677879731,1625.45013184241,1268.06145020109,21943.3856446629,13032.5826118847,25982.3230206318,,29629.378769705098,1815.1496712757398,,551.317584295399,952.443865147338,,673.6755064422899,252.346165543847,5863.54430340619,2688.76752530496,491.883562786213,355.825583678007,,69031.2435429687,,48973.885325893796,13854.2019341448,328.164944036228,185.64533821650298,2969.1593423721997,,341.795156241091,9153.75875278049,2399.09428367358,594.945755651468,2854.0606720030396,6339.958549625129,1943.19180859036,107335.41794125401,891.498605749977,,,1405.05298336241,187.425621879832,,2867.4180352532203,,228.575397551703,29956.9437893636,,20957.1289430075,959.6483838956059,316.349601461231,536.941709782687,,43995.974322998096,10891.089260294399,517.545947307603,,,2903.7251138824604,744.109749257673,1453.44712916947,2045.6450160742002,997.6627845521961,,13673.941942623702,,8158.034593492,1659.36963098924,4053.93753036747,5883.527335928821,246.296482433457,7312.584083808871,3654.45440967896,2967.9823867741197,1849.87818095522,28666.6017504942,,11655.7300374035,707.29558492608,,8269.11634776474,358.585081258582,15638.9962324624,,,,,5188.808040554361,18481.6473187741,674.950409914156,477.725089208702,3186.9176195582104,1724.5638899477601,32334.5216081615,48728.3203164226,1061.7108972041199,742.0535251840289,1432.6779771043698,,,438.55235819121003,,1895.7027989378798,6512.067906677211,1930.6355087636398,4668.083067809071,1663.26485741444,,,192.33717328765098,2826.1196973229603,43692.6119848198,28712.252429251497,290.108085244693,32716.6550467694,3974.6464111596797,550.1231782171479,1693.42667788082,5088.18174370676,292.188815424007,,687.897176487392,652.592712437503,,,,27967.326932031803,,,14572.5306799607,16879.9714260913,,,,,,,
,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-,,,,,,,,,1.4361557039592452,1.0944110073238955,1.2020566100997807,,2.672831361954685,,,3.287588543827969,,,2.2996219926232464,2.2413716098291476,,0.207391721622787,,1.8472557208609806,2.0684385396923144,,,4.329324498545032,7.299925722396623,0.008825607076381218,,6.526732467373032,,1.4095152121690313,2.325756658678337,,0.2628322566957055,1.293977406777977,4.085373062026438,,2.6883846777452,5.598378082136174,1.6554021234081102,3.7550278796606693,,3.771126730235992,4.647193777559639,2.3592628660577133,1.3090186039036136,1.1748425034083587,,3.9244404404401436,,2.376518048354468,6.179375748579645,,1.7339842175506925,1.0991398133150616,,0.9533807890783018,,2.548422731534275,0.054571166947253995,2.973731320104538,2.843008412374112,2.449515401680753,1.0063078297972756,2.184041482846088,,,,,3.136617240706957,0.7896754773443977,1.769690541322369,4.013349584263011,3.8017190848367175,,1.3172445247217945,5.622251630311233,,0.9065543408522724,2.961800952905322,3.5461128638554746,3.3785307613288627,5.211296324605069,0.8274817150713695,4.2307698866199255,,5.220932630336414,0.036186075423049885,2.0075448397341167,0.002093243851910843,1.5271955458263735,2.7131699279834334,0.6159593181871031,0.6903990447477281,0.5697994689486153,0.5334050957772252,1.2612646321741454,0.2892198745850993,0.3092666452604699,0.5221957965691869,,2.933447421722383,37.72959045036953,0.009384569697735034,,3.8700976901334165,,1.423391959826364,4.393434405528895,3.9300487287277246,0.3213088384548823,,,,,4.36323644929137,3.3632712878068673,8.465773044920942,1.2943145438681845,6.175437981352726,1.6404123493454683,,0.5074606385273943,3.7986745852743677,1.4138810248111218,,,0.702838161854175,,,1.5315116328825502,2.760411056852099,5.072062653604746,0.34610451312326174,,3.042005013193768,0.3281832331627504,,0.567381658704481,1.6389521729750554,5.7284550461951635,8.00218463150937,,0.6193993274889064,,1.3366825193690164,,,2.043774982027114,,8.538418662461462,1.6111039511168788,3.19994039102542,1.8823260259645804,0.6756001950375555,,0.9290913412566466,,1.983689457142749,,3.6406863373124687,3.788271070181873,2.7297231807914115,2.027800007537948,6.386783317382667,,3.194178858134047,1.0842914027003299,2.886120189227322,,,4.878525549829857,,,,11.85997113407574,2.458693480678446,1.3219234233740327,1.6233362834320952,2.314153023397067,3.8447181387985983,1.1718419956094028,4.2734064864869135,1.301397894384161,1.1620266441133142,2.1359918308776904,,2.618776155854623,,2.954739746715794,4.5941489623392515,,,2.658056691107949,0.5212183617609338,2.532399223862681,,,,4.926850514422508,,0.32471262275855683,1.3603706370263737,2.146924050206842,1.5827830957774198,1.8238863742679088,,,1.4157715376391309,2.203445495444804,0.6157431363108729,3.035405325886825,1.2131033315305186,,,1.1639859586158732,,,,,,,,,,,,
